,id,HotelName,sponsor,event,venue,City&Country,measurements,occasion,notes,call_number,keywords,language,date,place,place_type,currency,currency_symbol,status,page_count,dish_count
11867,29388,,Wong's Garden,,,,28x14.5cm folded; 28x42.5cm,,,2000-0001_wotm,,,2000-12-12,Wong's Garden,,Dollars,$,complete,3,385
3458,19797,,HAMBURG AMERIKA LINIE,LUNCH,COMMERCIAL,SS DEUTSCHLAND,CARD; ILLUS; COL; 5X8;,DAILY;,GERMAN AND ENGLISH MENU;NEPTUNE HOLDING TRIDENT ON SHIELD WITH EMBLEM;,1901-2384,,,1901-09-20,Hamburg Amerika Linie,,,,complete,2,76
7730,24885,,HOTEL CHAMBERLIN,EASTER DINNER,COMMERCIAL,"FORTRESS MONROE, VA",CARD; 6 X 9;,RELIGIOUS HOLIDAY,SILVER LOGO;,1905-302,,,1905-04-23,Hotel Chamberlin,,,,complete,2,57
10771,28276,,S.S. Homeric,,,,30x21.5cm folded; 30x43cm open,,,1965-0088_wotm,,,1965-11-13,S.S. Homeric,,,,complete,4,35
9399,26852,,Akbar,,RESTAURANT,Akbar,Booklet; 11 x 16 inches; cover is laminated,,"Dieter Zander Collection; Mogul/North Indian cuisine; restaurant named for Akbar (r. 1556-1605), the greatest of the Grand Mogul Emperors.",Zander 405 undated,,,,Akbar,,Dollars,$,complete,8,88
14710,32317,Café New York Restaurant,Café New York Restaurant,,,,33x21cm,,,1918-0193_wotm,,,1918-01-22,Café New York Restaurant,,Dollars,$,complete,2,226
12663,30207,,M.S. Gripsholm,,,,26x17cm,,,1939-0159_wotm,,,1939-08-16,M.S. Gripsholm,,,,complete,1,41
12344,29881,,Mount Royal Hotel,,,,36x24cm,,,1947-0033_wotm,,,1947-07-02,Mount Royal Hotel,,Canadian Dollars,C$,complete,1,125
8879,26300,,PENNSYLVANIA STATE HOTEL ASSOCIATION,THIRD ANNUAL CONVENTION,COMMERCIAL,"BELLEVUE-STRATFORD HOTEL, PHILADELPHIA, PA",BOOKLET; ILLUS; COL; 4.6X6.75;,ANNIVERSARY;,"INCLUDES BUFFET MENU AND WINELIST FOR 0CT. 08, 1906, LUNCHEON TO THE LADIES AND WINELIST FOR OCT. 09, 1906 AND BANQUET AT THE ORCHARD AND WINELIST FOR OCT. 09, 1906; ENTERTAINMENT COMMITTEE LISTED; INCLUDES PHOTOGRAPHS OF PHILADELPHIA BUILDINGS AND MONUME",1906-743,,,1906-10-08,Pennsylvania State Hotel Association,,,,complete,12,56
17408,35326,Hotel Casey,Hotel Casey,,,,,,American Institute of Banking,1913-0554_wotm,,,1913-05-06,Hotel Casey,,,,complete,5,24
3495,19834,,NORDDEUTSCHER LLOYD BREMEN,BREAKFAST,COMMERCIAL,SS KAISER WILHELM DER GROSSE,CARD;ILL;COL;5.5X8;,DAILY;,"SEPARATE LISTINGS,ONE GERMAN,ONE ENGLISH;COAST SCENE;MAY BE USED AS A POSTCARD;",1900-3027,,,1900-04-29,Norddeutscher Lloyd Bremen,,,,complete,2,77
5572,22182,,NEW ENGLAND SOCIETY IN THE CITY OF NEW YORK,ANNUAL DINNER,,,BROADSIDE; COL; ILLUS;,,FRENCH; SCENES OF COLONIAL LIFE AND OBJECTS,1881-026,,,1881-12-22,The Right Honourable William McArthur M.P.,,,,complete,4,24
2258,16040,,,,,,,,,,,,1901-09-01,Louisville & Nashville Railroaad   The Pullman Co.,,Dollars,$,complete,2,35
15630,33250,Louis Sherry,Louis Sherry,,,,26.5x15cm folded; 26.5x30cm open,,,1917-1000_wotm,,,1917-12-19,Louis Sherry,,Dollars,$,complete,5,479
12527,30069,,The Milwaukee Road,,,,25x17.5cm folded; 25x35cm open,,Railroad dining car menu,1943-0031_wotm,,,1943-01-01,The Milwaukee Road,,Dollars,$,complete,3,67
14902,32509,Café New York Restaurant,Café New York Restaurant,,,,33x21cm,,luncheon,1918-0106_wotm,,,1918-01-21,Café New York Restaurant,,Dollars,$,complete,2,280
7701,24846,,HAMBURG-AMERIKA LINIE,DINNER,COMMERCIAL,SS GRAF WALDERSEE,FOLDER; 4.5X7.0; ILLUS; COL;,,COVER ILLUS MEN PLAYING SHUFFLEBOARD; CONCERT PROGRAM ON REAR COVER;,1900-616,,,1900-01-31,Hamburg Amerika Linie,,,,complete,4,18
16002,33648,The Biltmore,The Biltmore,,,,30.5x23cm folded; 30.5x46cm open,,"Includes menu, trip itinerary, team members on tour, and speakers from the evening. Table plan includes roster of names at Speaker's Table and an alphabetical list of guests and what table they are assigned to.",1914-0315_wotm,,,1914-03-07,The Biltmore,,,,complete,26,31
8859,26275,,NORDDEUTSCHER LLOYD BREMEN,DINNER,COMMERCIAL,SS BARBAROSSA,CARD;ILL;COL;5.5X8.25;,DAILY;,SAILSHIP AT SEA;MENUS SEPARATE IN GERMAN AND ENGLISH;MAY BE USED AS POSTCARD;,1901-920,,,1901-04-14,Norddeutscher Lloyd Bremen,,,,complete,2,24
2610,16770,,NIPPON YUSEN KAISHA,BREAKFAST,COMMERCIAL,SS KASUGA,BROADSHEET;5.25X7.75;,DAILY;,,1900-4262,,,1900-09-01,Nippon Yusen Kaisha,,,,complete,2,16
